product_id,product_name,category,subcategory,cost_price
1,Where Academic,Books,Academic,5072.22
2,Town Men,Clothing,Men,48896.64
3,Because Footwear,Clothing,Footwear,44038.34
4,Federal Comic,Books,Comics,37807.76
5,Piece Decor,Home,Decor,3005.17
6,Under Laptop,Electronics,Laptops,36169.73
7,Of Laptop,Electronics,Laptops,41888.36
8,Issue Camera,Electronics,Cameras,9356.27
9,Even Kitchen,Home,Kitchen,30159.01
10,Current Decor,Home,Decor,32083.55
11,Accept Non-Fiction,Books,Non-Fiction,23427.64
12,Security Men,Clothing,Men,36569.41
13,Six Furniture,Home,Furniture,39548.84
14,Strategy Women,Clothing,Women,31954.35
15,Account Comic,Books,Comics,4382.55
16,Participant Laptop,Electronics,Laptops,23898.83
17,Necessary Men,Clothing,Men,11814.29
18,Buy Decor,Home,Decor,36157.98
19,Nature Accessorie,Electronics,Accessories,34653.79
20,Account Mobile,Electronics,Mobiles,8027.86
21,How Kitchen,Home,Kitchen,47034.75
22,Real Furniture,Home,Furniture,6721.76
23,Describe Footwear,Clothing,Footwear,30306.66
24,Rise Comic,Books,Comics,40109.65
25,Summer Women,Clothing,Women,29810.93
26,Four Camera,Electronics,Cameras,18121.15
27,Issue Mobile,Electronics,Mobiles,45149.26
28,High Women,Clothing,Women,42731.58
29,Both Fiction,Books,Fiction,35860.05
30,Clear Fiction,Books,Fiction,22301.86
31,Last Camera,Electronics,Cameras,22867.08
32,Reach Camera,Electronics,Cameras,15443.07
33,Pay Camera,Electronics,Cameras,200.62
34,Environment Men,Clothing,Men,35034.22
35,Every Mobile,Electronics,Mobiles,23629.96
36,Top Appliance,Home,Appliances,6814.67
37,North Academic,Books,Academic,19154.86
38,Land Comic,Books,Comics,43733.96
39,Other Kid,Clothing,Kids,19683.28
40,History Women,Clothing,Women,37821.16
41,Population Appliance,Home,Appliances,27245.04
42,Fact Non-Fiction,Books,Non-Fiction,17340.68
43,Response Furniture,Home,Furniture,36264.95
44,Industry Mobile,Electronics,Mobiles,20991.07
45,Someone Laptop,Electronics,Laptops,5089.79
46,Democrat Camera,Electronics,Cameras,35179.15
47,Job Laptop,Electronics,Laptops,20143.15
48,Old Women,Clothing,Women,38814.38
49,Step Kid,Clothing,Kids,45824.03
50,Onto Decor,Home,Decor,43819.1
51,Meeting Footwear,Clothing,Footwear,3094.83
52,Country Footwear,Clothing,Footwear,2391.86
53,Hospital Appliance,Home,Appliances,15970.79
54,Operation Comic,Books,Comics,9234.75
55,One Non-Fiction,Books,Non-Fiction,15071.78
56,Member Footwear,Clothing,Footwear,28141.18
57,Environment Non-Fiction,Books,Non-Fiction,12787.03
58,Food Kitchen,Home,Kitchen,42364.31
59,Participant Laptop,Electronics,Laptops,33699.91
60,Guy Mobile,Electronics,Mobiles,38096.74
61,Staff Footwear,Clothing,Footwear,45356.29
62,Season Kitchen,Home,Kitchen,9541.68
63,Information Camera,Electronics,Cameras,34796.53
64,Simply Footwear,Clothing,Footwear,27626.36
65,Certainly Appliance,Home,Appliances,32453.63
66,Top Decor,Home,Decor,44146.46
67,Treat Fiction,Books,Fiction,36134.56
68,Receive Furniture,Home,Furniture,20725.81
69,By Women,Clothing,Women,46741.17
70,Small Academic,Books,Academic,16526.77
71,Drug Non-Fiction,Books,Non-Fiction,32747.67
72,Likely Decor,Home,Decor,24456.62
73,Stay Comic,Books,Comics,39759.03
74,Scene Women,Clothing,Women,24441.4
75,Color Mobile,Electronics,Mobiles,3762.8
76,Black Mobile,Electronics,Mobiles,42135.11
77,Difficult Men,Clothing,Men,506.62
78,Movie Academic,Books,Academic,33354.4
79,Institution Comic,Books,Comics,27604.6
80,Stock Mobile,Electronics,Mobiles,13773.3
81,Ground Kitchen,Home,Kitchen,34908.06
82,Suddenly Non-Fiction,Books,Non-Fiction,26243.05
83,Oil Women,Clothing,Women,12658.29
84,Positive Decor,Home,Decor,3997.01
85,Same Comic,Books,Comics,49512.14
86,Return Kid,Clothing,Kids,42400.96
87,Seat Mobile,Electronics,Mobiles,18889.62
88,Area Fiction,Books,Fiction,35157.12
89,College Camera,Electronics,Cameras,32263.12
90,Improve Kitchen,Home,Kitchen,45961.65
91,Provide Women,Clothing,Women,34629.77
92,Accept Academic,Books,Academic,34237.22
93,Summer Kitchen,Home,Kitchen,42528.86
94,Benefit Laptop,Electronics,Laptops,37625.11
95,Than Fiction,Books,Fiction,28219.71
96,Check Academic,Books,Academic,37000.27
97,Market Accessorie,Electronics,Accessories,11645.59
98,With Accessorie,Electronics,Accessories,30712.57
99,Plan Academic,Books,Academic,39188.23
100,Learn Comic,Books,Comics,27674.23
101,Behavior Comic,Books,Comics,29314.46
102,Attack Fiction,Books,Fiction,14804.21
103,Everyone Men,Clothing,Men,19031.0
104,Doctor Footwear,Clothing,Footwear,5372.22
105,Hospital Accessorie,Electronics,Accessories,38079.26
106,Base Laptop,Electronics,Laptops,22469.74
107,Politics Fiction,Books,Fiction,27733.28
108,Always Appliance,Home,Appliances,19420.59
109,Shake Laptop,Electronics,Laptops,8520.67
110,If Non-Fiction,Books,Non-Fiction,13456.92
111,Word Men,Clothing,Men,13834.3
112,Institution Appliance,Home,Appliances,18088.19
113,Positive Footwear,Clothing,Footwear,9817.63
114,Reality Laptop,Electronics,Laptops,47443.73
115,Near Appliance,Home,Appliances,16510.61
116,Few Appliance,Home,Appliances,42982.45
117,Seek Kid,Clothing,Kids,47366.58
118,Picture Footwear,Clothing,Footwear,48230.5
119,Art Decor,Home,Decor,31663.48
120,Young Kid,Clothing,Kids,40833.9
121,Staff Academic,Books,Academic,10030.01
122,Ten Men,Clothing,Men,23108.03
123,Continue Footwear,Clothing,Footwear,41572.53
124,Push Camera,Electronics,Cameras,7002.0
125,Miss Furniture,Home,Furniture,7749.45
126,Leg Comic,Books,Comics,23987.77
127,Action Comic,Books,Comics,39546.51
128,Defense Kitchen,Home,Kitchen,32897.2
129,To Furniture,Home,Furniture,2262.62
130,Realize Academic,Books,Academic,21551.25
131,Word Mobile,Electronics,Mobiles,25558.28
132,Summer Footwear,Clothing,Footwear,23180.01
133,National Kid,Clothing,Kids,24164.42
134,Feeling Appliance,Home,Appliances,4338.45
135,Day Kid,Clothing,Kids,22793.87
136,Along Footwear,Clothing,Footwear,4926.27
137,Step Academic,Books,Academic,40518.79
138,Place Mobile,Electronics,Mobiles,32416.1
139,Mrs Women,Clothing,Women,27617.92
140,Name Appliance,Home,Appliances,11631.18
141,Say Non-Fiction,Books,Non-Fiction,32882.53
142,Each Fiction,Books,Fiction,44160.71
143,Possible Comic,Books,Comics,35251.54
144,Condition Kid,Clothing,Kids,40446.05
145,Represent Mobile,Electronics,Mobiles,26867.61
146,Also Decor,Home,Decor,5742.05
147,Here Academic,Books,Academic,30584.86
148,Edge Accessorie,Electronics,Accessories,22920.14
149,Real Kid,Clothing,Kids,29528.91
150,A Kid,Clothing,Kids,5891.6
