item_id,order_id,product_id,quantity,unit_price,discount_percent
1,2497,70,3,24271.85,8.2
2,2832,126,5,31409.79,12.9
3,2348,65,3,51074.92,21.9
4,5,44,3,33628.93,32.3
5,369,91,5,60184.58,20.8
6,1920,49,2,77491.59,29.8
7,2182,112,5,25724.9,26.3
8,1095,134,-2,6963.84,29.0
9,2628,134,5,7425.93,22.8
10,901,44,4,37358.9,28.9
11,1147,43,4,51549.63,3.9
12,11,99,5,54158.08,36.6
13,2170,24,5,57281.29,35.5
14,2307,80,5,19145.21,16.8
15,2970,37,4,24021.05,37.8
16,702,59,5,48193.18,31.9
17,1118,139,4,42514.51,11.2
18,1323,67,4,41533.82,8.1
19,2231,139,1,42449.31,18.5
20,1313,127,5,60180.68,39.5
21,687,104,2,9018.57,17.7
22,638,5,4,4747.19,16.0
23,2588,8,3,14431.34,32.3
24,2651,139,4,40490.53,3.9
25,109,126,4,26504.81,38.6
26,1863,34,2,43919.33,22.1
27,2894,131,4,39971.3,18.2
28,182,108,4,28035.19,20.7
29,783,87,-4,25463.57,9.4
30,2696,56,3,32928.14,33.8
31,135,92,1,40704.11,27.0
32,2912,72,3,31411.72,8.4
33,1264,124,1,12363.3,39.1
34,813,103,4,28071.26,15.7
35,306,10,4,48380.25,17.9
36,951,78,3,55468.62,10.5
37,1202,7,2,72906.09,34.2
38,272,111,2,17328.16,30.3
39,488,91,4,52208.0,6.4
40,2714,113,5,12404.23,29.7
41,364,85,3,73844.75,9.1
42,1528,18,3,53694.35,31.9
43,850,77,4,660.71,15.6
44,2590,147,3,41280.86,19.5
45,2498,30,-4,31162.08,6.5
46,386,104,1,8032.44,35.6
47,1229,71,4,51327.14,23.6
48,1995,116,2,55939.99,5.0
49,989,52,1,3921.35,34.1
50,122,148,5,36860.31,4.7
51,1854,118,4,57210.05,149.9
52,986,72,1,29879.32,5.1
53,1101,140,2,13116.86,22.1
54,2529,5,4,3502.98,25.4
55,1124,76,2,47142.08,14.0
56,1477,112,2,31060.63,2.1
57,526,98,5,38474.55,29.4
58,2596,86,2,57207.82,17.5
59,380,77,1,772.85,31.7
60,733,86,2,56829.69,10.8
61,2251,103,2,27343.32,22.9
62,957,17,3,15085.47,27.8
63,2377,51,1,3726.71,23.5
64,1298,55,1,17249.19,11.4
65,1741,25,1,43514.51,20.1
66,2196,123,1,73812.88,13.0
67,1775,124,2,10323.77,0.6
68,1869,25,4,33738.11,12.0
69,217,105,1,59008.4,23.1
70,2956,19,3,47150.0,0.5
71,223,48,4,68750.22,27.7
72,2766,84,2,6958.23,3.8
73,1675,123,3,46796.86,23.6
74,1646,109,2,14698.03,5.1
75,130,82,5,33131.2,1.9
76,392,12,1,61993.76,12.3
77,934,45,5,6894.28,31.9
78,1042,86,4,71347.36,8.7
79,1221,114,1,66408.78,17.2
80,224,150,2,10401.79,26.8
81,994,71,5,51194.75,24.9
82,378,86,4,67071.98,32.6
83,1999,100,3,49047.28,20.4
84,1230,27,3,58089.97,23.3
