order_id,customer_id,order_date,status,region_code
1,145,2026-03-04 12:55:53,DELIVERED,WEST
2,551,2024-09-26 02:39:41,PLACED,EAST
3,55,2025-07-11 17:57:01,SHIPPED,WEST
4,518,2026-02-07 21:48:48,DELIVERED,WEST
5,85,2026-05-28 07:33:28,SHIPPED,EAST
6,296,2024-09-18 07:17:06,DELIVERED,WEST
7,116,2026-06-08 16:19:39,CANCELLED,EAST
8,43,2025-11-16 15:20:19,PLACED,SOUTH
9,34,2025-11-29 15:14:13,PLACED,NORTH
10,243,2024-11-22 00:49:30,DELIVERED,CENTRAL
11,170,2024-08-04 07:03:20,CANCELLED,CENTRAL
12,288,2026-04-16 22:44:50,SHIPPED,CENTRAL
13,527,2024-05-27 22:15:05,DELIVERED,NORTH
14,130,2024-07-25 03:04:25,CANCELLED,WEST
15,592,2025-02-21 10:30:05,PLACED,NORTH
16,285,2025-07-27 07:58:14,DELIVERED,NORTH
17,470,2025-07-10 11:30:40,DELIVERED,WEST
18,507,2025-02-21 03:46:44,DELIVERED,SOUTH
19,497,2025-06-17 23:32:30,PLACED,WEST
20,,02-09-2024,RETURNED,SOUTH
21,136,2025-04-13 22:21:42,SHIPPED,EAST
22,381,2024-09-14 03:13:20,DELIVERED,SOUTH
23,94,08-08-2026,DELIVERED,CENTRAL
24,10,2024-01-13 12:35:39,RETURNED,WEST
25,490,2024-04-20 00:40:14,CANCELLED,NORTH
26,307,2024-08-01 00:33:02,CANCELLED,SOUTH
27,577,2024-01-14 03:57:40,DELIVERED,SOUTH
28,156,2025-10-01 13:39:26,SHIPPED,NORTH
29,127,2025-08-19 13:44:50,DELIVERED,SOUTH
30,87,2025-01-20 12:20:14,DELIVERED,NORTH
31,309,2024-11-15 03:34:17,DELIVERED,EAST
32,246,2026-02-07 18:45:05,DELIVERED,NORTH
33,13,2025-07-14 22:43:00,CANCELLED,CENTRAL
34,560,2024-09-25 09:20:38,DELIVERED,NORTH
35,15,2025-02-11 06:58:32,RETURNED,WEST
36,514,2025-10-07 08:25:38,DELIVERED,CENTRAL
37,285,2024-05-09 20:43:29,SHIPPED,SOUTH
38,401,2026-06-29 23:57:43,DELIVERED,NORTH
39,448,2025-01-05 17:02:48,DELIVERED,WEST
40,57,2025-04-25 11:10:09,SHIPPED,NORTH
41,12,2024-09-11 12:07:23,DELIVERED,EAST
42,130,2025-02-21 12:15:58,CANCELLED,EAST
43,279,2026-03-24 18:42:02,DELIVERED,NORTH
44,524,2025-07-13 10:23:31,SHIPPED,SOUTH
45,106,2026-06-10 13:00:05,DELIVERED,NORTH
46,,2024-01-20 02:07:57,DELIVERED,SOUTH
47,37,2026-05-08 20:17:35,DELIVERED,SOUTH
48,427,12-05-2025,DELIVERED,CENTRAL
49,54,2024-10-05 14:26:31,PLACED,WEST
50,477,2025-03-14 13:09:46,PLACED,WEST
51,,2024-11-07 17:33:46,DELIVERED,SOUTH
52,239,2026-02-05 09:49:08,DELIVERED,CENTRAL
53,252,04-08-2026,DELIVERED,NORTH
54,2,2025-08-07 12:32:32,PLACED,CENTRAL
55,430,2026-02-03 08:09:57,PLACED,EAST
56,238,2026-03-18 10:01:41,DELIVERED,NORTH
57,518,2024-07-26 09:45:25,DELIVERED,NORTH
58,134,2025-01-02 19:29:24,RETURNED,WEST
59,335,2025-05-09 02:03:04,RETURNED,SOUTH
60,599,2024-06-18 06:48:06,DELIVERED,WEST
61,367,2024-11-18 13:14:22,CANCELLED,NORTH
62,312,2024-03-03 15:36:15,PLACED,SOUTH
63,406,2026-03-08 15:09:51,CANCELLED,SOUTH
64,,2025-09-20 04:50:05,DELIVERED,NORTH
65,144,2024-07-07 16:06:20,RETURNED,SOUTH
66,411,2025-08-01 06:06:12,PLACED,CENTRAL
67,77,2024-02-03 20:46:10,DELIVERED,SOUTH
68,340,2024-07-09 08:09:44,SHIPPED,CENTRAL
69,405,2026-02-09 16:55:57,SHIPPED,SOUTH
70,282,2025-03-10 17:44:02,DELIVERED,CENTRAL
71,303,2026-02-14 00:01:38,PLACED,EAST
72,430,2024-11-05 20:19:33,SHIPPED,CENTRAL
73,392,2025-07-11 20:40:11,SHIPPED,CENTRAL
74,398,2025-02-24 02:34:23,SHIPPED,EAST
75,484,2026-04-02 10:39:59,SHIPPED,SOUTH
76,247,2025-02-18 00:50:48,DELIVERED,SOUTH
77,398,2025-07-05 04:04:31,SHIPPED,SOUTH
78,368,2024-02-13 19:37:01,DELIVERED,SOUTH
79,193,2026-02-03 15:32:32,PLACED,NORTH
80,225,31-01-2024,RETURNED,SOUTH
81,349,2024-10-02 16:11:00,SHIPPED,NORTH
82,146,2024-06-21 07:25:09,RETURNED,EAST
83,406,2026-06-29 08:17:05,PLACED,SOUTH
84,448,2026-01-26 20:07:59,RETURNED,CENTRAL
85,229,2024-09-29 09:34:57,SHIPPED,SOUTH
86,587,2025-08-31 07:57:33,DELIVERED,SOUTH
87,227,2026-05-28 13:14:29,SHIPPED,NORTH
88,328,2024-09-17 19:17:47,CANCELLED,EAST
89,272,21-11-2024,SHIPPED,NORTH
90,50,2025-08-22 12:46:40,SHIPPED,WEST
91,388,2025-06-29 14:50:49,DELIVERED,CENTRAL
92,231,2024-09-09 16:16:27,PLACED,NORTH
93,108,2024-04-25 06:23:29,SHIPPED,NORTH
94,96,2025-06-08 23:42:39,DELIVERED,NORTH
95,169,2025-11-05 12:09:49,SHIPPED,SOUTH
